Quantidade,Sensor
455, Sensor 2: 4.05
456, Sensor 1: 6.61
457, Sensor 2: 4.19
458, Sensor 1: 6.61
459, Sensor 2: 4.05
460, Sensor 1: 6.61
461, Sensor 2: 4.05
462, Sensor 1: 6.61
463, Sensor 2: 4.05
464, Sensor 1: 6.61
465, Sensor 2: 4.05
466, Sensor 1: 6.48
467, Sensor 2: 4.05
468, Sensor 1: 6.61
469, Sensor 2: 4.19
470, Sensor 1: 6.61
471, Sensor 2: 4.19
472, Sensor 1: 6.61
473, Sensor 2: 4.05
474, Sensor 1: 6.48
475, Sensor 2: 4.19
476, Sensor 1: 6.61
477, Sensor 2: 4.05
478, Sensor 1: 6.48
479, Sensor 2: 4.19
480, Sensor 1: 6.61
481, Sensor 2: 4.19
482, Sensor 1: 6.61
483, Sensor 2: 4.19
484, Sensor 1: 6.48
485, Sensor 2: 4.19
486, Sensor 1: 6.61
487, Sensor 2: 4.19
488, Sensor 1: 6.61
489, Sensor 2: 4.05
490, Sensor 1: 6.61
491, Sensor 2: 4.19
492, Sensor 1: 6.61
493, Sensor 2: 4.19
494, Sensor 1: 6.61
495, Sensor 2: 4.19
496, Sensor 1: 6.61
497, Sensor 2: 4.19
498, Sensor 1: 6.61
499, Sensor 2: 4.19
500, Sensor 1: 6.61
501, Sensor 2: 4.19
